date,breadth,sma_cross,rsi5,wma_iwma,composite,eq_wt,next_ret,bil_ret,variant
2016-06-30,0.5806451612903226,1.0,0.568754063493389,0.0,0.5373498061959279,0.5373498061959279,0.04158112542635917,0.000437769382719555,B: 50d cont
2016-07-29,0.9354838709677419,1.0,0.7878082687278527,1.0,0.9308230349238986,0.9308230349238986,0.00714638550360247,0.0,B: 50d cont
2016-08-31,0.7096774193548387,1.0,0.30481358602152836,0.0,0.5036227513440917,0.5036227513440917,0.014925186261598,0.0002190455260566715,B: 50d cont
2016-09-30,0.6774193548387096,1.0,0.5389533361865491,0.0,0.5540931727563146,0.5540931727563146,-0.017598515842127904,0.0002188949325874212,B: 50d cont
2016-10-31,0.3870967741935484,1.0,0.3576428121424615,0.0,0.4361848965840025,0.4361848965840025,-0.020368188487622785,-0.00043779665673970847,B: 50d cont
2016-11-30,0.16129032258064516,1.0,0.5440820077073009,1.0,0.6763430825719865,0.6763430825719865,0.01855399858886342,0.00021884023502938277,B: 50d cont
2016-12-30,0.4838709677419355,1.0,0.6076422460563876,1.0,0.7728783034495808,0.7728783034495808,0.038242088769004035,0.0004374820858628059,B: 50d cont
2017-01-31,1.0,1.0,0.5394777508159065,1.0,0.8848694377039766,0.8848694377039766,0.011480347044480865,0.0005034537047237109,B: 50d cont
2017-02-28,0.8709677419354839,1.0,0.30271376698051566,0.0,0.5434203772289999,0.5434203772289999,0.031449417978931526,-0.00017501284145193807,B: 50d cont
2017-03-31,0.9032258064516129,1.0,0.49542588180385216,1.0,0.8496629220638663,0.8496629220638663,0.021550141822817004,0.0007438578659277884,B: 50d cont
2017-04-28,0.9032258064516129,1.0,0.7411729056282897,1.0,0.9110996780199757,0.9110996780199757,0.030744584661860364,0.0001532925571032795,B: 50d cont
2017-05-31,0.8064516129032258,1.0,0.5170055325179476,0.0,0.5808642863552933,0.5808642863552933,0.007162494919285223,0.001029033729746276,B: 50d cont
2017-06-30,0.7741935483870968,1.0,0.5009830097672763,1.0,0.8187941395385933,0.8187941395385933,0.0350952337210213,0.0003276135883185649,B: 50d cont
