date,regime,crdbx_ret,spy_ret,crdbx_spy_ratio
2023-06-23,OFF,0.0,-0.007560006040454259,
2023-06-26,AMBIGUOUS,0.0007102435323880218,-0.0040857529802734716,-0.1738341832747028
2023-06-27,OFF,0.0,0.010963311143060928,
2023-06-28,AMBIGUOUS,0.0,0.0005043932731050305,
2023-06-29,ON,0.0063875196318829985,0.003941361271775801,1.6206379449720092
2023-06-30,OFF,0.0,0.011800720368392748,
2023-07-03,AMBIGUOUS,0.020451336785033414,0.0011505363811348257,
2023-07-05,AMBIGUOUS,-0.0027643373265286986,-0.001487198110370791,
2023-07-06,ON,-0.013167049898776817,-0.007830661842952225,1.6814734390079
2023-07-07,AMBIGUOUS,-0.0007022632754615232,-0.002524714233486991,0.2781555497041728
2023-07-10,OFF,0.0,0.0025311045491687167,
2023-07-11,OFF,0.0,0.006368529703967729,
2023-07-12,ON,0.014054867840706864,0.008045919692956538,1.746831732985181
2023-07-13,OFF,0.0,0.007936883171425269,
2023-07-14,AMBIGUOUS,0.0,-0.0006228285007950918,
2023-07-17,OFF,0.0,0.003472216797614669,
2023-07-18,AMBIGUOUS,0.0006929504501764772,0.007430587638025177,0.09325648036642258
2023-07-19,OFF,0.0,0.002223760453105239,
