date,sma_cross,breadth,rsi5,wma_iwma,composite,eq_wt,next_ret,bil_ret
2017-07-31,1.0,1.0,0.7279997631771752,1.0,0.9319999407942938,0.9319999407942938,0.004238343359954211,0.0011381380822188536
2017-08-31,1.0,1.0,0.689452696335061,1.0,0.9223631740837652,0.9223631740837652,0.020257599196567,0.0007217182412804224
2017-09-29,1.0,1.0,0.641898937653564,0.0,0.660474734413391,0.660474734413391,0.01923447114739929,0.0006994453864790362
2017-10-31,1.0,0.9354838709677419,0.6945605171931536,1.0,0.9075110970402239,0.9075110970402239,0.004261492376033349,0.0005470005642473907
2017-11-30,1.0,0.8709677419354839,0.44322889751803074,0.0,0.5785491598633787,0.5785491598633787,0.020064586612106305,0.0007446768254553149
2017-12-29,1.0,0.967741935483871,0.8418128864188449,1.0,0.952388705475679,0.952388705475679,0.05465469573577453,0.0013129418642552348
2018-01-31,1.0,1.0,0.4264328880722059,0.0,0.6066082220180515,0.6066082220180515,-0.0504935911758394,0.0008310909654254406
2018-02-28,1.0,0.8387096774193549,0.3699293395336708,1.0,0.8021597542382565,0.8021597542382565,-0.006597686563243665,0.001301181650714911
2018-03-29,1.0,0.6451612903225806,0.5375276365658513,0.0,0.545672231722108,0.545672231722108,0.005635286025096997,0.0010390644560223095
2018-04-30,1.0,0.6129032258064516,0.429967791895456,0.0,0.5107177544254768,0.5107177544254768,-0.018611254676848765,0.0014983321707147113
2018-05-31,1.0,0.3225806451612903,0.3217782607010767,0.0,0.4110897264655917,0.4110897264655917,-0.021860856897761738,0.0014869723512500599
2018-06-29,0.0,0.12903225806451613,0.4684962941764617,0.0,0.14938213806024447,0.25,0.028571490839681912,0.0013887611710146075
2018-07-31,0.0,0.3870967741935484,0.6776939906296782,1.0,0.5161976912058066,0.5161976912058066,-0.023045192184524832,0.0015858492703708649
2018-08-31,0.0,0.25806451612903225,0.4349315412545082,1.0,0.42324901434588513,0.42324901434588513,0.004422838503301385,0.001399566997613011
2018-09-28,0.0,0.2903225806451613,0.4636006340943728,0.0,0.1884808036848835,0.25,-0.07968140003077961,0.0017061207724811123
2018-10-31,0.0,0.06451612903225806,0.5235856524733298,0.0,0.14702544537639695,0.25,0.014354141995679415,0.0018592683385434405
2018-11-30,0.0,0.06451612903225806,0.5496320482910266,1.0,0.40353704433082116,0.40353704433082116,-0.04897526960211984,0.0018275154230800172
2018-12-31,0.0,0.12903225806451613,0.5580176223724754,1.0,0.4217624701092479,0.4217624701092479,0.07530962042940414,0.0017498479765096775
2019-01-31,0.0,0.3548387096774194,0.7729997282346978,1.0,0.5319596094780292,0.5319596094780292,0.01573612906708055,0.0018476966345339907
2019-02-28,0.0,0.5806451612903226,0.5126066704094344,1.0,0.5233129579249393,0.5233129579249393,0.009600612806795583,0.0017494591959055228
2019-03-29,1.0,0.6451612903225806,0.5595565862813503,0.0,0.5511794691509827,0.5511794691509827,0.028095856711792377,0.0019250700439910062
2019-04-30,1.0,0.8387096774193549,0.6032867147830175,0.0,0.6104990980505931,0.6104990980505931,-0.05612779237678356,0.002121972017737228
2019-05-31,1.0,0.41935483870967744,0.3428809627260742,0.0,0.44055895035893794,0.44055895035893794,0.059537466552333385,0.0018154780394941117
2019-06-28,1.0,0.8387096774193549,0.688276577244374,0.0,0.6317465636659323,0.6317465636659323,-0.01732237305716755,0.0018044610159646535
2019-07-31,1.0,0.7096774193548387,0.16390439508980192,0.0,0.4683954536111602,0.4683954536111602,-0.02393934071778625,0.0016950071010126688
2019-08-30,1.0,0.41935483870967744,0.6870397350006857,1.0,0.7765986434275908,0.7765986434275908,0.026755901463005216,0.0016183959715623253
2019-09-30,1.0,0.5806451612903226,0.43702598171705154,0.0,0.5044177857518435,0.5044177857518435,0.030836170006316888,0.0016074034584652175
2019-10-31,1.0,0.7096774193548387,0.6073701782559064,1.0,0.8292618994026864,0.8292618994026864,0.009900972030296717,0.0010825107163738856
