Date,SPY,CRDBX,SGOV,DBMF,KMLM,ARB,CAOS
2022-08-12,+1.6929%,+0.0000%,+0.0100%,-0.5131%,-0.6930%,+0.1930%,
2022-08-15,+0.4121%,+0.0000%,+0.0000%,+0.4191%,-0.0383%,+0.3705%,
2022-08-16,+0.1959%,+0.0000%,+0.0100%,+0.0963%,+0.8542%,-0.1107%,
2022-08-17,-0.7098%,+0.0000%,+0.0100%,+0.2886%,+2.2196%,-0.0370%,
2022-08-18,+0.2906%,+0.0000%,+0.0100%,+0.8634%,+1.8000%,-0.0739%,
2022-08-19,-1.3438%,+0.0000%,+0.0000%,+0.9195%,+0.7859%,+0.0000%,
2022-08-22,-2.0822%,+0.0000%,+0.0399%,+0.2199%,+0.9468%,-0.1480%,
2022-08-23,-0.2419%,+0.0000%,-0.0299%,+0.0940%,+0.3862%,-0.3149%,
2022-08-24,+0.3201%,+0.0000%,+0.0200%,-0.0940%,+0.2473%,-0.0186%,
2022-08-25,+1.4118%,+0.0000%,+0.0250%,-0.8464%,-0.7127%,+0.4089%,
2022-08-26,-3.3849%,+0.0000%,+0.0000%,+0.4742%,+0.5522%,-0.4554%,
2022-08-29,-0.6612%,+0.0000%,+0.0050%,+0.4405%,+1.0983%,-0.1376%,
2022-08-30,-1.0978%,+0.0000%,+0.0000%,+0.4386%,-0.0815%,+0.1117%,
2022-08-31,-0.7609%,+0.0000%,+0.0100%,+0.0936%,+0.2718%,-0.1823%,
2022-09-01,+0.3138%,+0.0000%,+0.0279%,+1.5893%,+0.4337%,+0.1454%,
2022-09-02,-1.0544%,+0.0000%,+0.0000%,-0.0920%,+0.0000%,-0.2754%,
2022-09-06,-0.3773%,+0.0000%,+0.0100%,+1.2895%,+0.8907%,-0.0336%,
2022-09-07,+1.7965%,+0.0000%,+0.0200%,-0.6972%,-3.1300%,+0.4181%,
2022-09-08,+0.6536%,+0.0000%,+0.0200%,+0.3968%,+1.1323%,+0.1784%,
2022-09-09,+1.5535%,+0.0000%,-0.0100%,-0.3345%,-0.5052%,+0.1930%,
2022-09-12,+1.0748%,+0.0000%,+0.0000%,-0.9457%,+0.0412%,+0.0185%,
2022-09-13,-4.3482%,+0.0000%,+0.0300%,+1.5399%,+2.4691%,-0.2703%,
2022-09-14,+0.3816%,+0.0000%,-0.0100%,-0.1213%,-0.6024%,+0.1188%,
2022-09-15,-1.1353%,+0.0000%,+0.0300%,+0.2429%,-0.0673%,-0.0927%,
2022-09-16,-0.7598%,+0.0000%,+0.0000%,-0.3029%,-1.0782%,-0.2376%,
2022-09-19,+0.7755%,+0.0000%,+0.0100%,+0.2431%,+1.3079%,+0.0186%,
2022-09-20,-1.1479%,+0.0000%,+0.0200%,+0.6972%,+0.3497%,-0.0372%,
2022-09-21,-1.7444%,+0.0000%,+0.0100%,+0.5418%,-0.1876%,-0.1712%,
2022-09-22,-0.8400%,+0.0000%,+0.0100%,+0.2096%,+0.7250%,+0.3243%,
2022-09-23,-1.6755%,+0.0000%,+0.0200%,+1.1055%,+1.7062%,-0.6689%,
2022-09-26,-0.9893%,+0.0934%,+0.0000%,+1.4184%,+2.3853%,-0.0711%,
2022-09-27,-0.2553%,+0.0000%,+0.0100%,+0.6993%,+0.3328%,+0.0412%,
2022-09-30,-1.5464%,+0.0000%,+0.0100%,+0.2363%,-0.1302%,-0.3330%,
2022-10-06,-1.0316%,+0.0000%,+0.0300%,+1.1432%,+2.4195%,-0.1638%,
2022-10-07,-2.7894%,+0.0000%,+0.0100%,+1.0411%,+1.0080%,-0.2499%,
2022-10-10,-0.7635%,+0.0000%,+0.0000%,+0.7948%,+0.7677%,+0.1570%,
2022-10-19,-0.7086%,+0.0000%,+0.0000%,+1.7647%,+1.1396%,-0.1484%,
2022-10-20,-0.8385%,+0.0000%,+0.0200%,+0.5491%,+0.1280%,+0.1449%,
2022-10-21,+2.4301%,+0.0000%,+0.0200%,-1.0348%,-1.0997%,+0.0594%,
2022-10-24,+1.2236%,+0.0000%,+0.0100%,+0.5518%,-0.3103%,+0.1705%,
2022-10-25,+1.5969%,+0.0000%,-0.0100%,-1.2421%,-1.5824%,+0.3442%,
2022-11-04,+1.4393%,+0.0000%,+0.0100%,-1.1571%,-1.4995%,-0.0749%,
2022-11-07,+0.9566%,+0.0000%,+0.0100%,+0.1171%,-0.0262%,+0.0000%,
2022-11-08,+0.5395%,+0.0000%,+0.0100%,-1.4908%,-1.2864%,-0.1873%,
2022-11-09,-2.0602%,+0.0000%,+0.0299%,+0.3561%,-0.4255%,-0.2628%,
2022-11-10,+5.4954%,+0.0000%,+0.0100%,-3.9030%,-5.1816%,+0.4516%,
2022-11-11,+0.9679%,+0.0000%,+0.0100%,-1.5077%,-1.0704%,+0.0075%,
2022-11-14,-0.8507%,+0.0900%,+0.0000%,+0.3749%,+0.6264%,-0.2098%,
2022-11-15,+0.8529%,+0.0000%,+0.0000%,-0.9960%,-1.2450%,+0.0713%,
2022-11-16,-0.7629%,+0.0000%,-0.0100%,-0.7230%,-1.2034%,-0.0488%,
2022-11-17,-0.3060%,+0.0000%,+0.0499%,+0.7600%,+1.3341%,+0.1239%,
2022-11-18,+0.4540%,+0.0000%,+0.0000%,+0.5028%,+0.3148%,+0.1312%,
2022-11-21,-0.3636%,+0.0000%,+0.0199%,+0.5316%,+0.3138%,+0.1123%,
2022-11-22,+1.3457%,+0.0000%,+0.0299%,-0.6532%,-0.9954%,+0.0037%,
2022-11-25,-0.0224%,-0.0890%,+0.0100%,-0.0950%,+0.3604%,-0.1941%,
2022-12-06,-1.4415%,+0.0000%,+0.0200%,-0.0643%,-0.3566%,+0.0112%,
2022-12-08,+0.7834%,+0.0000%,+0.0499%,-0.0973%,+0.1174%,-0.1123%,
2022-12-15,-2.4462%,+0.0000%,+0.0369%,-0.0326%,+1.9265%,-0.1978%,
2022-12-19,-0.8480%,+0.0000%,+0.0000%,-0.0324%,+0.2345%,-0.2606%,
2022-12-20,+0.1368%,+0.0000%,+0.0200%,+0.6475%,+0.2485%,+0.2223%,
2022-12-21,+1.4952%,+0.0000%,+0.0000%,-0.4181%,+0.1896%,-0.1440%,
2022-12-22,-1.4266%,+0.0000%,+0.0600%,+0.6783%,+0.8151%,+0.0857%,
2023-01-04,+0.7720%,+0.0000%,-0.0100%,-0.7576%,-1.0735%,-0.0427%,
2023-01-05,-1.1413%,+0.0000%,+0.0399%,+0.1735%,+1.2825%,+0.0155%,
2023-01-09,-0.0567%,+0.0000%,+0.0000%,-0.1053%,-0.5990%,-0.1825%,
2023-01-10,+0.7013%,+0.0000%,+0.0000%,+0.4566%,+0.9709%,+0.1906%,
2023-01-11,+1.2648%,+0.0000%,+0.0000%,-0.6294%,-1.8899%,+0.0621%,
2023-01-12,+0.3641%,+0.0000%,+0.0699%,-0.2111%,-1.4870%,-0.1086%,
2023-01-13,+0.3880%,+0.0000%,+0.0100%,+0.1410%,+0.4803%,+0.0272%,
2023-01-17,-0.1832%,+0.0874%,-0.0100%,+0.2817%,-0.4029%,-0.2136%,
2023-02-06,-0.6111%,+0.0000%,+0.0000%,+0.3554%,+0.6798%,-0.0157%,
2023-02-07,+1.3079%,+0.0000%,+0.0200%,+0.6728%,-0.4727%,+0.2158%,
2023-02-08,-1.0935%,+0.0000%,+0.0100%,-0.7738%,+0.6106%,-0.0979%,
2023-02-09,-0.8669%,+0.0000%,+0.0399%,+0.6026%,+0.0674%,-0.0392%,
2023-02-10,+0.2334%,+0.0000%,+0.0100%,-0.3876%,-0.5391%,-0.0392%,
2023-02-13,+1.1739%,+0.0827%,+0.0200%,+0.4598%,+0.7791%,+0.2000%,
2023-02-14,-0.0460%,-0.1653%,-0.0100%,+0.7042%,+0.2857%,-0.0235%,
2023-02-15,+0.3247%,+0.0000%,+0.0299%,-0.1748%,+0.2179%,+0.0039%,
2023-02-16,-1.3769%,+0.0000%,+0.0399%,+0.2452%,+0.5686%,+0.2192%,
2023-02-17,-0.2498%,+0.0000%,+0.0100%,-0.2795%,+0.1663%,+0.1016%,
2023-02-21,-2.0061%,+0.0828%,+0.0199%,+0.1051%,+1.8592%,+0.1249%,
2023-02-22,-0.1378%,+0.0000%,+0.0199%,-0.3500%,-0.7497%,+0.3040%,
2023-03-07,-1.5329%,+0.0000%,+0.0299%,-1.3227%,+0.5913%,+0.1973%,-1.2264%
2023-03-09,-1.8450%,+0.0000%,+0.0299%,-0.8794%,+0.4892%,-0.2165%,-1.1151%
2023-03-10,-1.4429%,+0.0000%,+0.0199%,-3.0518%,-2.2720%,-0.5010%,-1.1277%
2023-03-13,-0.1425%,-0.3239%,+0.0299%,-3.0381%,-2.9890%,-1.1775%,+0.7747%
2023-04-04,-0.5548%,+0.0000%,+0.0200%,-0.5354%,+0.2735%,+0.2246%,-0.3069%
2023-04-06,+0.3901%,+0.0000%,+0.0299%,-0.0387%,+1.0249%,-0.0393%,+0.2900%
2023-04-11,+0.0269%,+0.0000%,+0.0000%,+0.1148%,+0.5934%,+0.2157%,+0.0839%
2023-04-12,-0.4076%,+0.0000%,+0.0199%,+0.4589%,+0.4551%,+0.0196%,-0.2334%
2023-04-13,+1.3283%,+0.0000%,+0.0598%,+0.3045%,+0.3691%,+0.3130%,+0.7781%
