date,factor,signals,equity
2020-09-25,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$94,074"
2020-09-28,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,149"
2020-09-29,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$94,891"
2020-09-30,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,513"
2020-10-01,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,795"
2020-10-02,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,129"
2020-10-05,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,474"
2020-10-06,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,427"
2020-10-07,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,577"
2020-10-08,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,967"
2020-10-09,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$97,956"
2020-10-12,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,968"
2020-10-13,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,948"
2020-10-14,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,378"
2020-10-15,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,151"
2020-10-16,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,182"
2020-10-19,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,847"
2020-10-20,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,833"
2020-10-21,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,735"
2020-10-22,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$97,116"
2020-10-23,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$97,483"
2020-10-26,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,460"
2020-10-27,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$96,332"
2020-10-28,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$93,621"
2020-10-29,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$93,612"
2020-10-30,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$93,545"
2020-11-02,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,052"
2020-11-03,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$96,289"
2020-11-04,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$97,315"
2020-11-05,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,278"
2020-11-06,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,763"
2020-11-09,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$97,438"
2020-11-10,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,429"
2020-11-11,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,453"
2020-11-12,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,889"
2020-11-13,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,947"
2020-11-16,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,113"
2020-11-17,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,808"
2020-11-18,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,503"
2020-11-19,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,955"
2020-11-20,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,461"
2020-11-23,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,337"
2020-11-24,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,539"
2020-11-25,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,459"
2020-11-27,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$98,633"
2020-11-30,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,151"
2020-12-01,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,923"
2020-12-02,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,475"
2020-12-03,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,293"
2020-12-04,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,915"
2020-12-07,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,821"
2020-12-08,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,435"
2020-12-09,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,080"
2020-12-10,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,627"
2020-12-11,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,916"
2020-12-14,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,432"
2020-12-15,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,116"
2020-12-16,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,146"
2020-12-17,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,906"
2020-12-18,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$101,102"
2020-12-21,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,191"
2020-12-22,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,876"
2020-12-23,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$99,856"
2020-12-24,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,296"
2020-12-28,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,505"
2020-12-29,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,365"
2020-12-30,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,182"
2020-12-31,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$101,066"
2021-01-04,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,239"
2021-01-05,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,316"
2021-01-06,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,016"
2021-01-07,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,280"
2021-01-08,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,545"
2021-01-11,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,132"
2021-01-12,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,862"
2021-01-13,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$100,739"
2021-01-14,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,608"
2021-01-15,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,743"
2021-01-19,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,854"
2021-01-20,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,229"
2021-01-21,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,059"
2021-01-22,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,067"
2021-01-25,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$102,048"
2021-01-26,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$102,511"
2021-01-27,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,850"
2021-01-28,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,649"
2021-01-29,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,113"
2021-02-01,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,358"
2021-02-02,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,033"
2021-02-03,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,744"
2021-02-04,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,849"
2021-02-05,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,118"
2021-02-08,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,482"
2021-02-09,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,776"
2021-02-10,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,784"
2021-02-11,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,574"
2021-02-12,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,030"
2021-02-16,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,409"
2021-02-17,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,077"
2021-02-18,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,269"
2021-02-19,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,144"
2021-02-22,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,841"
2021-02-23,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,571"
2021-02-24,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,777"
2021-02-25,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$98,889"
2021-02-26,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$97,759"
2021-03-01,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$98,794"
2021-03-02,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$98,556"
2021-03-03,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$97,894"
2021-03-04,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$97,067"
2021-03-05,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,101"
2021-03-08,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,639"
2021-03-09,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$99,987"
2021-03-10,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,894"
2021-03-11,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$100,825"
2021-03-12,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,369"
2021-03-15,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$102,191"
2021-03-16,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$102,420"
2021-03-17,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,958"
2021-03-18,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$101,781"
2021-03-19,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$102,098"
2021-03-22,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$103,260"
2021-03-23,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$103,376"
2021-03-24,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$102,883"
2021-03-25,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$103,646"
2021-03-26,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$105,596"
2021-03-29,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$106,560"
2021-03-30,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$105,590"
2021-03-31,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$105,291"
2021-04-01,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$105,502"
2021-04-05,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$106,750"
2021-04-06,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$106,845"
2021-04-07,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$106,602"
2021-04-08,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$106,732"
2021-04-09,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$106,934"
2021-04-12,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$107,314"
2021-04-13,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$106,728"
2021-04-14,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$107,251"
2021-04-15,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$108,115"
2021-04-16,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$108,433"
2021-04-19,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$108,167"
2021-04-20,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$105,953"
2021-04-21,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$107,479"
2021-04-22,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$106,635"
2021-04-23,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$108,580"
2021-04-26,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$109,649"
2021-04-27,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$110,195"
2021-04-28,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$110,454"
2021-04-29,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$110,864"
2021-04-30,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: ON; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: ON,"$109,019"
