date,equity,spy
2020-08-31,138865.11028108426,187162.730565066
2020-09-30,132375.09672527786,180154.68292032453
2020-10-30,127696.27882256743,175662.80253730854
2020-11-30,137219.15714061682,194770.8059389905
2020-12-31,137942.58500296503,201986.75180879934
2021-01-29,132142.3577865529,199928.4163192424
2021-02-26,157516.33640047305,205487.51701061745
2021-03-31,164360.3174841403,214816.4972743273
2021-04-30,168030.69491393134,226182.618747577
2021-05-28,179476.3582055678,227667.68428647247
2021-06-30,171150.34810525973,232773.6689329828
2021-07-30,152674.93757194487,238456.27929115732
2021-08-31,157532.79974178725,245552.74240736998
2021-09-30,148553.93222630883,234108.5729979574
2021-10-29,158754.81715706506,250534.54623488028
2021-11-30,147618.37456884785,248521.51351885984
2021-12-31,147086.43543368232,260015.10092451214
2022-01-31,127282.49700792308,246301.53632037275
2022-02-28,138873.8129423962,239031.47438892032
2022-03-31,154266.40123091327,248016.73641645347
2022-04-29,151054.77745401676,226248.51529653007
2022-05-31,177393.94899197403,226759.26212114122
2022-06-30,140902.01545883407,208060.57325228874
2022-07-29,155673.78714671635,227220.3790067124
2022-08-31,165381.75935276964,217949.3297750492
2022-09-30,144744.37781879614,197800.79319592964
2022-10-31,174144.97804339256,213877.20210777115
2022-11-30,178550.35129152227,225766.9635926424
2022-12-30,167185.1111576217,212756.41325666892
2023-01-31,166717.81540249297,226136.06197913954
2023-02-28,165824.54890644897,220450.37845036254
2023-03-31,162491.43685999187,228624.2351293425
2023-04-28,150987.44777459296,232276.48644758257
2023-05-31,152740.2278945462,233348.70507364572
2023-06-30,162293.33134165997,248469.64051851805
2023-07-31,179629.43823980287,256602.89248936533
2023-08-31,173641.39813707012,252432.58231990825
2023-09-29,162731.05491806957,240458.52058626912
2023-10-31,157665.35650138074,235238.54603706705
2023-11-30,157595.65965594444,256726.1019038645
2023-12-29,159690.68634131676,268447.0509483999
2024-01-31,152217.501786197,272722.4847467416
2024-02-29,177176.8075880504,286954.9912970988
2024-03-28,180694.6412142808,296338.95305555285
2024-04-30,171586.3757688573,284390.6953578345
2024-05-31,171833.911355013,298775.0589245139
2024-06-28,161351.13743299828,309315.8927957993
2024-07-31,149574.35231514164,313061.45193181443
2024-08-30,158689.32612710528,320376.2691179029
2024-09-30,172021.0954413496,327105.66496612004
2024-10-31,174134.16597819957,324186.7180745703
2024-11-29,184214.49996443486,343519.11591593287
2024-12-31,179997.61718544248,335254.0178614795
2025-01-31,188918.731286383,344257.7365745275
2025-02-28,181952.78765505206,339887.4407112094
2025-03-31,170876.85337792244,320949.1858305641
2025-04-30,152722.36483514847,318166.482835724
2025-05-30,154100.0965767638,338161.66113702016
2025-06-30,152189.27961609932,355538.4627612085
2025-07-31,147283.02142913788,363727.0494648003
2025-08-29,141619.80853898084,371190.5798490084
2025-09-30,162612.69196181634,384412.52546625206
2025-10-31,169772.40812645617,393575.94307922863
2025-11-28,158319.63422216265,394343.3879586464
2025-12-31,149042.79265958865,394657.8757502996
2026-01-30,152366.23572779048,400474.2573391818
2026-02-27,165433.39022226413,397013.37270759576
