etf,description,rank_recent,score_recent,on_days_recent,avg_recent_pct,ann_recent_pct,beta_recent,ratio_recent,win_recent_pct,worst_recent_pct,best_recent_pct,rank_full,score_full,on_days_full,avg_full_pct,ann_full_pct,beta_full,ratio_full,win_full_pct,worst_full_pct,best_full_pct,rank_gap,robustness_flag
VV,US Large Cap,12,64.89547648660763,378,0.1119152477453447,28.202642431826863,0.9843214729911457,1.013267228067078,57.14285714285714,-3.602663733507694,9.691126009720708,17,59.33786415887633,686,0.10983442914543544,27.678276144649733,1.0006361656422351,1.0157905159377885,56.41399416909621,-3.602663733507694,9.691126009720708,5,stable
MTUM,MSCI USA Momentum,13,64.10809707461594,378,0.12235722239387144,30.8340200432556,1.153522280912871,1.1607909593607522,56.87830687830689,-4.076048859600334,10.478874879445943,29,45.66114650377989,686,0.08912788831319937,22.46022785492624,1.1179332875909123,1.1209380574596755,56.70553935860059,-4.226700287056973,10.478874879445943,16,unstable
IWB,US Large Cap,14,61.25707588365825,378,0.11011309377956513,27.748499632450415,0.9714561193908421,1.0107096943412417,57.14285714285714,-3.455792053285811,9.432370327177676,4,70.08288464558271,686,0.11115657695228345,28.01145739197543,0.9926958547321428,1.010096890012615,56.559766763848394,-3.455792053285811,9.432370327177676,10,moderate
SPLG,US Large Cap,15,61.071126269971934,378,0.11100580251446901,27.973462233646192,0.9633005194431593,0.9977997624854926,57.14285714285714,-3.4881894753499454,9.450437377476284,16,59.46448257636588,686,0.1104284621524045,27.82797246240593,0.978882912770672,0.9967582304954459,56.268221574344025,-3.4881894753499454,9.450437377476284,1,stable
QUAL,MSCI USA Quality,16,60.07292392067822,378,0.11882418326992422,29.94369418402091,0.9122543775754187,0.9668774239356179,55.29100529100529,-2.988226459782106,8.679960560604849,18,57.940283861607476,686,0.11203631905686616,28.233152402330276,0.9673583687148063,0.9817063668781804,54.66472303206997,-3.731980679579039,8.679960560604849,2,stable
IVV,US Large Cap,17,59.3789510014287,378,0.11014066754299022,27.755448220833536,0.9660531765300954,0.9990120540308924,57.14285714285714,-3.513043925200232,9.512833473990746,23,54.88222876528812,686,0.10867386946617459,27.385815105476,0.9823343147932185,0.9966349239234127,56.268221574344025,-3.513043925200232,9.512833473990746,6,moderate
VOO,S&P 500 Baseline,18,58.6748196021023,378,0.10891743310737392,27.44719314305823,0.9591176771574494,0.9994737521163162,57.14285714285714,-3.4141471321456174,9.274426758078192,24,53.80191688633316,686,0.1081067832360875,27.242909375494044,0.9781822697920776,0.9978685350231167,56.268221574344025,-3.4430550142286798,9.274426758078192,6,moderate
SPY,S&P 500 Baseline,19,58.271790218251205,378,0.1113077062935166,28.049541985966187,1.002652519893898,1.0,57.14285714285714,-4.3818997195333225,10.501930183911323,25,53.01658342937636,686,0.10985713687294994,27.683998491983385,1.0014598540145982,1.0,56.268221574344025,-4.3818997195333225,10.501930183911323,6,moderate
LGLV,US Large Cap Low Vol,20,53.45632294473649,378,0.10401069500567972,26.21069514143129,0.4723958101315262,0.5480433953410677,57.407407407407405,-2.2176619208463366,5.198510159322112,27,47.58709339756068,686,0.09917682067056813,24.99255880898317,0.618327167528838,0.653274551509637,56.70553935860059,-2.8879842523886534,5.198510159322112,7,moderate
VIG,Dividend Appreciation,21,52.24369888700372,378,0.10427186173214201,26.276509156499788,0.7247127277873997,0.7724181533844139,55.55555555555556,-2.658942657658425,7.385864991300717,31,39.52259190339971,686,0.09923524275791248,25.007281174993945,0.7704940486678508,0.806597602940649,54.08163265306123,-2.96159483173557,7.385864991300717,10,moderate
SPHB,S&P 500 High Beta,22,49.489702595724886,378,0.10903867443098926,27.477745956609294,1.4515446106412677,1.5135283338149645,54.4973544973545,-6.042452577585788,14.134961814471447,9,68.2433295877382,686,0.18103284089411423,45.62027590531678,1.4016584565761134,1.4848109374882335,54.66472303206997,-6.042452577585788,14.134961814471447,13,unstable
VTV,Vanguard Value,23,47.85552227666584,378,0.09949586970505533,25.072959165673947,0.6585914993946135,0.7601034134561169,55.026455026455025,-2.6118257806965417,6.6375981452334365,19,57.78892456573887,686,0.11068250698548286,27.891991760341682,0.7078123690713566,0.7643331259972097,55.10204081632652,-2.8917721078419834,6.6375981452334365,4,stable
USMV,MSCI USA Min Vol,24,47.638579870928396,378,0.09917003266778994,24.990848232283067,0.4878922437971548,0.5525818179961206,56.87830687830689,-2.232710847086705,5.19784890726025,34,34.860458225865706,686,0.08121019386555933,20.46496885412095,0.6040687338798565,0.6204742465489772,55.68513119533528,-2.9564413643718535,5.19784890726025,10,moderate
VONV,US Large Cap Value,25,46.056163525224584,378,0.0982414053261793,24.756834142197185,0.7044771603626349,0.7496110021961075,55.29100529100529,-2.643677668129729,6.9818287196294015,11,67.12704270662762,686,0.11491362361276622,28.958233150417083,0.7664248270467765,0.8008501832411431,55.10204081632652,-2.9173396666982265,6.9818287196294015,14,unstable
